条形码,登录号,读者条码,外借时间,应归还时间,主键码,虚拟库室,续借次数,处理时间,流通库室键码,签到键码,附件,备注
10831739,10831739,1.21518E+11,2015/4/13 16:10,2015/7/16 23:59,346097,7,2,,0,0,,
10159244,10159244,1.21425E+11,2015/4/7 21:37,2015/7/9 23:59,237569,8,2,,0,0,,
10970655,10970655,9905097,2015/4/13 16:31,2015/7/16 23:59,665834,7,2,,0,0,,
10935200,10935200,9905097,2015/4/13 16:31,2015/7/16 23:59,647342,7,2,,0,0,,
10865676,10865676,9.7E+11,2014/10/17 16:56,2014/11/17 23:59,618065,27,0,,0,0,,
11052908,11052908,9.7E+11,2014/10/17 16:57,2014/11/17 23:59,428426,27,0,,0,0,,
10775204,10775204,1.41408E+11,2015/6/24 11:17,2015/7/24 23:59,629100,8,0,,0,0,,
11482174,11482174,1.30302E+11,2015/1/20 9:09,2015/4/23 23:59,392167,8,1,,0,0,,
11491029,11491029,1.30302E+11,2015/1/20 9:09,2015/5/25 23:59,416424,8,2,,0,0,,
10772492,10772492,1.31414E+11,2015/6/13 8:00,2015/9/11 23:59,620201,8,2,,0,0,,
10652855,10652855,1.41401E+11,2015/6/13 9:04,2015/7/13 23:59,345711,8,0,,0,0,,
10952653,10952653,1.41408E+11,2015/6/24 11:17,2015/7/24 23:59,638916,8,0,,0,0,,
11440120,11440120,1.41402E+11,2015/5/30 14:32,2015/7/17 23:59,353655,8,1,,0,0,,
11099238,11099238,1.21406E+11,2015/6/13 9:48,2015/7/13 23:59,635110,8,0,,0,0,,
10780768,10780768,1.31404E+11,2015/6/24 11:29,2015/7/24 23:59,632074,8,0,,0,0,,
10815432,10815432,1.31417E+11,2015/4/28 17:07,2015/7/29 23:59,322365,8,2,,0,0,,
11083713,11083713,1.21406E+11,2015/6/13 9:48,2015/7/13 23:59,634944,8,0,,0,0,,
10938152,10938152,1.21406E+11,2015/6/13 9:48,2015/7/13 23:59,671581,8,0,,0,0,,
11205498,11205498,1.31402E+11,2015/6/24 11:32,2015/7/24 23:59,341497,8,0,,0,0,,
11218300,11218300,9.7E+11,2015/6/24 15:31,2015/7/24 23:59,643725,8,0,,0,0,,
10480191,10480191,1.31406E+11,2015/6/13 10:15,2015/7/13 23:59,637799,8,0,,0,0,,
10847740,10847740,9.6E+11,2015/6/24 14:51,2015/7/24 23:59,629560,8,0,,0,0,,
10739731,10739731,602000031,2015/6/24 15:14,2015/7/24 23:59,690746,8,0,,0,0,,
10204328,10204328,1.21404E+11,2015/5/20 16:08,2015/7/29 23:59,257367,8,2,,0,0,,
11078815,11078815,9.7E+11,2015/6/13 10:43,2015/7/13 23:59,637281,8,0,,0,0,,
11431835,11431835,1.31426E+11,2015/6/13 10:46,2015/7/13 23:59,351909,8,0,,0,0,,
11220760,11220760,1.41402E+11,2015/6/17 9:56,2015/7/17 23:59,654005,8,1,,0,0,,
10309692,10309692,1.21416E+11,2015/6/3 14:51,2015/7/3 23:59,289563,8,0,,0,0,,
10717685,10717685,9.6E+11,2015/5/12 8:36,2015/7/13 23:59,630044,27,1,,0,0,,
